DATE,GDP,UNEMPLOYMENT,CUR_EXCHANGE,MORTGAGE,INCOME,INTEREST,PRICE
2000-01-01,12935.252,4.0,1.01311,8.21,9309.1,5.0,100.552
2000-04-01,13170.749,3.8,0.94492,8.1525,9418.3,5.5,102.922
2000-07-01,13183.89,4.0,0.938615,8.1475,9533.3,6.0,105.054
2000-10-01,13262.25,3.9,0.8525380952380953,7.795,9627.4,6.0,107.382
2001-01-01,13219.251,4.2,0.9375809523809524,7.0325,9697.4,5.52,109.846
2001-04-01,13301.394,4.4,0.8925190476190475,7.0775,9705.0,4.28,111.651
2001-07-01,13248.142,4.6,0.8614857142857143,7.1275,9820.7,3.25,113.491
2001-10-01,13284.881,5.3,0.905,6.6175,9722.4,2.02,115.308
2002-01-01,13394.91,5.7,0.8831619047619047,6.9975,9951.9,1.25,117.143
2002-04-01,13477.356,5.9,0.8859954545454546,6.985,10007.2,1.25,119.611
2002-07-01,13531.741,5.8,0.9935272727272728,6.485,10053.5,1.25,122.888
2002-10-01,13549.421,5.7,0.98115,6.1125,10097.3,1.25,125.734
2003-01-01,13619.434,5.8,1.062247619047619,5.916,10133.6,2.25,128.461
2003-04-01,13741.107,6.0,1.0862363636363637,5.8125,10181.4,2.25,130.884
2003-07-01,13970.157,6.2,1.1365045454545455,5.6325,10415.5,2.0,133.776
2003-10-01,14131.379,6.0,1.1713681818181818,5.952,10408.4,2.0,137.532
2004-01-01,14212.34,5.7,1.26382,5.7125,10472.7,2.0,141.64600000000002
2004-04-01,14323.017,5.6,1.1989454545454543,5.83,10569.6,2.0,146.592
2004-07-01,14457.832,5.5,1.2266142857142857,6.056,10658.1,2.25,151.338
2004-10-01,14605.595,5.5,1.25074,5.7225,10707.4,2.75,155.751
2005-01-01,14767.846,5.3,1.312265,5.71,10670.3,3.25,161.28799999999998
2005-04-01,14839.707,5.2,1.2943095238095237,5.855,10751.9,3.75,167.50099999999998
2005-07-01,14956.291,5.0,1.204055,5.695,10839.0,4.25,172.86
2005-10-01,15041.232,5.0,1.20224,6.065,10870.2,4.75,178.02700000000002
2006-01-01,15244.088,4.7,1.21255,6.145,11096.7,5.5,182.32
2006-04-01,15281.525,4.7,1.227325,6.5075,11190.3,5.75,184.329
2006-07-01,15304.517,4.7,1.268065,6.7625,11196.3,6.25,183.067
2006-10-01,15433.643,4.4,1.2617190476190476,6.3575,11306.0,6.25,183.2
2007-01-01,15478.956,4.6,1.2993,6.2175,11403.7,6.25,184.518
2007-04-01,15577.779,4.5,1.351290476190476,6.18,11490.1,6.25,183.011
2007-07-01,15671.605,4.7,1.3726476190476191,6.695,11500.4,6.25,179.111
2007-10-01,15767.146,4.7,1.4233043478260867,6.375,11523.6,5.0,176.62400000000002
2008-01-01,15702.906,5.0,1.4728142857142856,5.758,11553.4,3.5,173.13299999999998
2008-04-01,15792.773,5.0,1.5753636363636363,5.9175,11500.7,2.25,168.33700000000002
2008-07-01,15709.562,5.8,1.5758636363636362,6.425999999999999,11574.0,2.25,163.567
2008-10-01,15366.607,6.5,1.3266272727272728,6.2,11616.7,1.25,158.329
2009-01-01,15187.475,7.8,1.324445,5.047499999999999,11718.0,0.5,151.504
2009-04-01,15161.772,9.0,1.3198909090909092,4.8100000000000005,11660.2,0.5,147.94899999999998
2009-07-01,15216.647,9.5,1.4091652173913043,5.222,11560.4,0.5,148.409
2009-10-01,15379.155,10.0,1.4821142857142855,4.952,11538.1,0.5,147.84799999999998
2010-01-01,15456.059,9.8,1.4265736842105263,5.03,11644.6,0.5,147.395
2010-04-01,15605.628,9.9,1.3416818181818182,5.098000000000001,11799.8,0.75,146.401
2010-07-01,15726.282,9.4,1.281057142857143,4.564,11910.8,0.75,144.988
2010-10-01,15807.995,9.4,1.390095,4.225,11950.4,0.75,142.525
2011-01-01,15769.911,9.1,1.337065,4.755,12084.4,0.75,141.526
2011-04-01,15876.839,9.1,1.4459761904761903,4.84,12061.3,0.75,140.011
2011-07-01,15870.684,9.0,1.4275,4.545,12128.6,0.75,139.727
2011-10-01,16048.702,8.8,1.373245,4.0675,12117.0,0.75,137.953
2012-01-01,16179.968,8.3,1.290985,3.915,12311.1,0.75,136.607
2012-04-01,16253.726,8.2,1.3160190476190476,3.91,12486.5,0.75,139.155
2012-07-01,16282.151,8.2,1.2277619047619048,3.55,12396.5,0.75,141.667
2012-10-01,16300.035,7.8,1.2973818181818182,3.3825000000000003,12538.2,0.75,143.6
2013-01-01,16441.485,8.0,1.3303904761904763,3.414,12258.9,0.75,146.836
2013-04-01,16464.402,7.6,1.302518181818182,3.4450000000000003,12299.0,0.75,151.52100000000002
2013-07-01,16594.743,7.3,1.3087863636363637,4.37,12350.6,0.75,155.60399999999998
2013-10-01,16712.76,7.2,1.3645909090909092,4.192,12395.1,0.75,159.246
2014-01-01,16654.247,6.6,1.361795238095238,4.432,12513.3,0.75,161.95
2014-04-01,16868.109,6.2,1.381018181818182,4.3375,12699.0,0.75,163.399
2014-07-01,17064.616,6.2,1.3533363636363636,4.13,12835.1,0.75,164.56799999999998
2014-10-01,17141.235,5.7,1.2677318181818182,4.036,12995.3,0.75,166.645
2015-01-01,17280.647,5.7,1.16149,3.67,13224.7,0.75,168.666
2015-04-01,17380.875,5.4,1.0822045454545457,3.672,13262.8,0.75,170.31
2015-07-01,17437.08,5.2,1.099740909090909,4.046,13324.1,0.75,172.122
2015-10-01,17462.579,5.0,1.1227952380952382,3.796,13419.8,0.75,174.80200000000002
2016-01-01,17565.465,4.8,1.0855052631578948,3.8725,13531.6,1.0,177.305
2016-04-01,17618.581,5.1,1.1345666666666667,3.605,13522.0,1.0,178.794
2016-07-01,17724.489,4.8,1.105495,3.44,13567.1,1.0,180.836
2016-10-01,17812.56,4.9,1.10144,3.47,13627.7,1.0,183.751
2017-01-01,17896.623,4.7,1.0634947368421053,4.15,13742.1,1.25,186.8
2017-04-01,17996.802,4.4,1.07138,4.045,13869.6,1.5,188.787
2017-07-01,18126.226,4.3,1.153015,3.9675,13999.9,1.75,191.48
2017-10-01,18296.685,4.2,1.175547619047619,3.895,14062.7,1.75,194.779
2018-01-01,18436.262,4.0,1.219652380952381,4.032500000000001,14211.4,2.0,198.21400000000003
2018-04-01,18590.004,4.0,1.2269523809523808,4.4675,14329.5,2.25,200.813
2018-07-01,18679.599,3.8,1.1684619047619047,4.5275,14467.0,2.5,202.987
2018-10-01,18721.281,3.8,1.148759090909091,4.83,14527.7,2.75,205.02
2019-01-01,18833.195,4.0,1.14179,4.464,14714.3,3.0,206.295
2019-04-01,18982.528,3.6,1.1234,4.1425,14678.0,3.0,207.829
2019-07-01,19112.653,3.7,1.1211454545454544,3.765,14703.7,3.0,209.46
2019-10-01,19202.31,3.6,1.1058181818181818,3.688,14821.4,2.25,211.602
2020-01-01,18951.992,3.5,1.1097666666666666,3.624,14976.5,2.25,214.537
2020-07-01,18560.774,10.2,1.1488272727272728,3.016,16151.9,0.25,219.666
2020-10-01,18767.778,6.9,1.1767809523809525,2.834,15568.4,0.25,229.409
2021-01-01,19055.655,6.4,1.2177666666666669,2.735,16988.6,0.25,238.856
2021-04-01,19368.31,6.0,1.1965409090909092,3.06,16146.9,0.25,249.86900000000003
2021-07-01,19478.893,5.4,1.182138095238095,2.868,15735.2,0.25,263.3
