DATE,UNRATE
1/1/00,4
1/4/00,3.8
1/7/00,4
1/10/00,3.9
1/1/01,4.2
1/4/01,4.4
1/7/01,4.6
1/10/01,5.3
1/1/02,5.7
1/4/02,5.9
1/7/02,5.8
1/10/02,5.7
1/1/03,5.8
1/4/03,6
1/7/03,6.2
1/10/03,6
1/1/04,5.7
1/4/04,5.6
1/7/04,5.5
1/10/04,5.5
1/1/05,5.3
1/4/05,5.2
1/7/05,5
1/10/05,5
1/1/06,4.7
1/4/06,4.7
1/7/06,4.7
1/10/06,4.4
1/1/07,4.6
1/4/07,4.5
1/7/07,4.7
1/10/07,4.7
1/1/08,5
1/4/08,5
1/7/08,5.8
1/10/08,6.5
1/1/09,7.8
1/4/09,9
1/7/09,9.5
1/10/09,10
1/1/10,9.8
1/4/10,9.9
1/7/10,9.4
1/10/10,9.4
1/1/11,9.1
1/4/11,9.1
1/7/11,9
1/10/11,8.8
1/1/12,8.3
1/4/12,8.2
1/7/12,8.2
1/10/12,7.8
1/1/13,8
1/4/13,7.6
1/7/13,7.3
1/10/13,7.2
1/1/14,6.6
1/4/14,6.2
1/7/14,6.2
1/10/14,5.7
1/1/15,5.7
1/4/15,5.4
1/7/15,5.2
1/10/15,5
1/1/16,4.8
1/4/16,5.1
1/7/16,4.8
1/10/16,4.9
1/1/17,4.7
1/4/17,4.4
1/7/17,4.3
1/10/17,4.2
1/1/18,4
1/4/18,4
1/7/18,3.8
1/10/18,3.8
1/1/19,4
1/4/19,3.6
1/7/19,3.7
1/10/19,3.6
1/1/20,3.5
1/4/20,14.7
1/7/20,10.2
1/10/20,6.9
1/1/21,6.4
1/4/21,6
1/7/21,5.4
1/10/21,4.6
1/1/22,4
1/4/22,3.6